,Open,High,Low,Close,Weighted_Price
2020-12-02,10500.652734236932,10791.494308225034,10154.902365607883,10505.141840578728,10485.71802839526
2020-12-03,10505.323474245792,10796.354678640615,10159.333017988614,10509.817228482874,10490.378493010003
2020-12-04,10509.998847913545,10801.216675543144,10163.77312042372,10514.497368275735,10495.043856979559
2020-12-05,10514.678982499292,10806.080515903795,10168.221768268977,10519.181569432352,10499.71393290939
2020-12-06,10519.363180787297,10810.945686994453,10172.6787434155,10523.869823841902,10504.388242140825
2020-12-07,10524.051440166366,10815.81233906215,10177.143200955701,10528.561624637428,10509.066612493636
2020-12-08,10528.743248216686,10820.680111457596,10181.614984397984,10533.256972128685,10513.748705185855
2020-12-09,10533.43860940076,10825.549107676456,10186.093459746042,10537.95543546472,10518.434364255894
2020-12-10,10538.137089113407,10830.41902655187,10190.578403155607,10542.656949526827,10523.123269682099
2020-12-11,10542.838625055207,10835.28990832572,10195.069245026629,10547.36114885132,10527.81524503481
2020-12-12,10547.54284874375,10840.16150398991,10199.565759542265,10552.067955335528,10532.51001261639
2020-12-13,10552.249684330069,10845.033836464596,10204.067467121129,10556.777074930777,10537.20741862602
2020-12-14,10556.958835556297,10849.906718359056,10208.574143541924,10561.48842861504,10541.907237196132
2020-12-15,10561.670224895935,10854.780151319099,10213.08539619654,10566.201763634046,10546.609322879052
2020-12-16,10566.383597928738,10859.653970571357,10217.601005914008,10570.916979874122,10551.31346444391
2020-12-17,10571.098855728076,10864.528158277788,10222.120613178382,10575.63386183834,10556.019518084966
2020-12-18,10575.815781490286,10869.4025838864,10226.64400548642,10580.352319327965,10560.727306601442
2020-12-19,10580.534285816057,10874.277227149596,10231.170886532971,10585.072172642802,10565.436705361011
2020-12-20,10585.254188051975,10879.151979382035,10235.701062310218,10589.793328397529,10570.14755790652
2020-12-21,10589.975395418336,10884.02681165687,10240.23426617323,10594.515628212544,10574.859744043491
2020-12-22,10594.697748764602,10888.901630407214,10244.770314160654,10599.238982200051,10579.573123602424
2020-12-23,10599.421158623287,10893.776404189946,10249.308974129992,10603.963254820843,10584.287587465213
2020-12-24,10604.145488891803,10898.651055992803,10253.850076769952,10608.688362703635,10589.003014185892
2020-12-25,10608.870656490255,10903.52555480766,10258.393419030253,10613.414188588322,10593.719305544502
2020-12-26,10613.596543705502,10908.399834042604,10262.938847015055,10618.140652713133,10598.436352825716
2020-12-27,10618.323070983219,10913.273860954107,10267.486180221842,10622.867650929624,10603.154064470322
2020-12-28,10623.050133833265,10918.14757820695,10272.035275015252,10627.595109840917,10607.872343658557
2020-12-29,10627.77765898848,10923.020955095848,10276.585972568795,10632.322939422327,10612.591108706783
2020-12-30,10632.5055561528,10927.8939426188,10281.13814401484,10637.051072059923,10617.310274239215
2020-12-31,10637.233757802944,10932.766511126862,10285.691648515724,10641.779427603,10622.029765656882
